Game Number,Test Agent,Win Percentage,Draw Percentage,Loss Percentage
107000,random_player,0.999,0.001,0.0
107000,moderate_player,0.001,0.012,0.987
107000,advanced_player,0.0,0.0,1.0
108000,random_player,1.0,0.0,0.0
108000,moderate_player,0.002,0.01,0.988
108000,advanced_player,0.0,0.0,1.0
109000,random_player,0.998,0.002,0.0
109000,moderate_player,0.001,0.015,0.984
109000,advanced_player,0.0,0.0,1.0
110000,random_player,0.999,0.001,0.0
110000,moderate_player,0.001,0.008,0.991
110000,advanced_player,0.0,0.0,1.0
111000,random_player,0.998,0.002,0.0
111000,moderate_player,0.001,0.008,0.991
111000,advanced_player,0.0,0.0,1.0
112000,random_player,0.999,0.001,0.0
112000,moderate_player,0.0,0.018,0.982
112000,advanced_player,0.0,0.0,1.0
113000,random_player,1.0,0.0,0.0
113000,moderate_player,0.005,0.008,0.987
113000,advanced_player,0.0,0.0,1.0
114000,random_player,0.999,0.001,0.0
114000,moderate_player,0.002,0.009,0.989
114000,advanced_player,0.0,0.0,1.0
115000,random_player,0.999,0.001,0.0
115000,moderate_player,0.002,0.012,0.986
115000,advanced_player,0.0,0.0,1.0
116000,random_player,0.999,0.001,0.0
116000,moderate_player,0.002,0.018,0.98
116000,advanced_player,0.0,0.0,1.0
117000,random_player,0.999,0.001,0.0
117000,moderate_player,0.001,0.015,0.984
117000,advanced_player,0.0,0.0,1.0
118000,random_player,1.0,0.0,0.0
118000,moderate_player,0.0,0.009,0.991
118000,advanced_player,0.0,0.0,1.0
119000,random_player,1.0,0.0,0.0
119000,moderate_player,0.002,0.016,0.982
119000,advanced_player,0.0,0.0,1.0
120000,random_player,0.999,0.0,0.001
120000,moderate_player,0.002,0.013,0.985
120000,advanced_player,0.0,0.001,0.999
121000,random_player,0.998,0.002,0.0
121000,moderate_player,0.003,0.016,0.981
121000,advanced_player,0.0,0.0,1.0
122000,random_player,0.998,0.002,0.0
122000,moderate_player,0.002,0.01,0.988
122000,advanced_player,0.0,0.001,0.999
123000,random_player,0.998,0.001,0.001
123000,moderate_player,0.0,0.014,0.986
123000,advanced_player,0.0,0.0,1.0
124000,random_player,1.0,0.0,0.0
124000,moderate_player,0.004,0.018,0.978
124000,advanced_player,0.0,0.0,1.0
125000,random_player,1.0,0.0,0.0
125000,moderate_player,0.002,0.011,0.987
125000,advanced_player,0.0,0.0,1.0
126000,random_player,0.999,0.001,0.0
126000,moderate_player,0.004,0.019,0.977
126000,advanced_player,0.0,0.0,1.0
127000,random_player,0.998,0.001,0.001
127000,moderate_player,0.005,0.013,0.982
127000,advanced_player,0.0,0.0,1.0
128000,random_player,1.0,0.0,0.0
128000,moderate_player,0.0,0.02,0.98
128000,advanced_player,0.0,0.0,1.0
129000,random_player,0.999,0.001,0.0
129000,moderate_player,0.002,0.018,0.98
129000,advanced_player,0.0,0.0,1.0
130000,random_player,0.998,0.002,0.0
130000,moderate_player,0.001,0.01,0.989
130000,advanced_player,0.0,0.0,1.0
131000,random_player,1.0,0.0,0.0
131000,moderate_player,0.002,0.016,0.982
131000,advanced_player,0.0,0.0,1.0
132000,random_player,1.0,0.0,0.0
132000,moderate_player,0.003,0.013,0.984
132000,advanced_player,0.0,0.0,1.0
133000,random_player,0.999,0.0,0.001
133000,moderate_player,0.003,0.016,0.981
133000,advanced_player,0.0,0.0,1.0
134000,random_player,0.999,0.001,0.0
134000,moderate_player,0.001,0.013,0.986
134000,advanced_player,0.0,0.0,1.0
135000,random_player,0.999,0.0,0.001
135000,moderate_player,0.0,0.015,0.985
135000,advanced_player,0.0,0.0,1.0
136000,random_player,0.999,0.0,0.001
136000,moderate_player,0.002,0.021,0.977
136000,advanced_player,0.0,0.0,1.0
137000,random_player,0.999,0.0,0.001
137000,moderate_player,0.002,0.013,0.985
137000,advanced_player,0.0,0.0,1.0
138000,random_player,0.997,0.002,0.001
138000,moderate_player,0.001,0.011,0.988
138000,advanced_player,0.0,0.0,1.0
139000,random_player,0.998,0.0,0.002
139000,moderate_player,0.001,0.017,0.982
139000,advanced_player,0.0,0.0,1.0
140000,random_player,1.0,0.0,0.0
140000,moderate_player,0.004,0.017,0.979
140000,advanced_player,0.0,0.0,1.0
141000,random_player,1.0,0.0,0.0
141000,moderate_player,0.002,0.014,0.984
141000,advanced_player,0.0,0.0,1.0
142000,random_player,1.0,0.0,0.0
142000,moderate_player,0.001,0.019,0.98
142000,advanced_player,0.0,0.001,0.999
143000,random_player,0.998,0.002,0.0
143000,moderate_player,0.001,0.013,0.986
143000,advanced_player,0.0,0.0,1.0
144000,random_player,1.0,0.0,0.0
144000,moderate_player,0.001,0.017,0.982
144000,advanced_player,0.0,0.0,1.0
145000,random_player,0.998,0.001,0.001
145000,moderate_player,0.003,0.017,0.98
145000,advanced_player,0.0,0.0,1.0
146000,random_player,0.999,0.0,0.001
146000,moderate_player,0.001,0.016,0.983
146000,advanced_player,0.0,0.0,1.0
147000,random_player,0.999,0.001,0.0
147000,moderate_player,0.002,0.017,0.981
147000,advanced_player,0.0,0.0,1.0
148000,random_player,1.0,0.0,0.0
148000,moderate_player,0.003,0.017,0.98
148000,advanced_player,0.0,0.0,1.0
149000,random_player,1.0,0.0,0.0
